State,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft,Year,Prison_population,GDP,Gun_number,Police_number
ALABAMA,3800629,162.7888436,8.209167483,10.10359075,30.9685581,113.5075273,486.2089933,79.03954845,381.3842393,23.15406213,2016,28883,190703,"616,947",81
ALABAMA,4779736,377.8,5.7,28.2,99.6,244.2,3516.8,879.4,2415.6,221.8,2010,31764,182262.7,"308,607",16205
ALABAMA,4822023,449.9,7.1,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8,2012,32431,186299,"431,356",12745
ALABAMA,4858979,472.4,7.2,72,94.9,328.3,2978.9,725.6,2040.7,212.7,2015,30810,189339.1,"737,509",13079
ALABAMA,4874747,524.2,8.3,41.6,86.5,387.8,2957.3,645.7,2048.1,263.4,2017,27608,193023.9,"477,345",8065
ALABAMA,4887871,519.6,7.8,40.8,83.4,387.6,2817.2,590.1,1958.9,268.3,2018,26841,198435.9,"474,294",15855
ALASKA,666481,318.2386295,3.300919306,8.102256478,41.26149133,265.5739623,616.3716595,68.56909649,500.689442,40.21119882,2008,NA,50884,"61,729",1963
ALASKA,682496,314.2875563,3.223462116,11.2821174,41.46544449,258.3165323,576.8531977,57.14319205,474.141973,39.41415041,2009,5285,55837.6,"60,780",1977
ALASKA,710231,638.8,4.4,75,83.6,475.8,2852.5,437.2,2187.3,228,2010,5391,54151.4,"65,909",1944
ALASKA,722718,606.5,4,58.1,79.7,464.6,2632.8,391,2056,185.8,2011,5412,54645.7,"70,198",1990
ALASKA,731449,603.2,4.1,79.7,86.1,433.2,2739.4,403.3,2128,208.1,2012,5633,57670.1,"85,342",1968
ALASKA,737438,885,6.4,161.6,121.5,595.4,3300.5,539.6,2219,541.9,2018,4380,53092.4,"78,761",1985
ALASKA,738432,730.2,8,210,103.1,497.1,2817.6,475.5,2065.1,277.1,2015,5338,53798.7,"85,621",9
ALASKA,738566,311.1434862,5.551298056,17.60167676,38.18209882,249.8084125,473.2143099,72.8438623,325.0894301,68.37574435,2016,4434,52710.7,"87,647",709
ALASKA,739795,829,8.4,116.7,128.5,575.4,3542.1,563.8,2402.7,575.6,2017,4399,52727.4,"80,839",1933
ARIZONA,6391343,174.3764965,3.786371659,5.382280375,28.92975702,136.2780874,588.1705926,61.91187048,499.222151,24.26720018,2016,42320,289230.4,"416,279",2766
ARIZONA,6392017,408.1,6.4,33.9,108.5,259.3,3534,794.3,2403.2,336.5,2010,40209,257484.7,"206,050",22130
ARIZONA,6414715,143.8255636,4.832638706,2.883994067,31.86423715,104.2446936,653.2480399,79.2864531,529.4545432,40.42268441,2008,NA,277477.1,"208,721",22912
ARIZONA,6482505,405.9,6.2,34.9,109.9,254.8,3554.5,847.3,2401.3,305.9,2011,40020,263211.1,"251,477",20759
ARIZONA,6505613,143.9372431,3.105011011,3.473923211,34.03215039,103.3261585,678.1221078,69.89349044,575.3493176,29.37463387,2009,40544,255080.7,"215,379",22910
ARIZONA,6553255,428.9,5.5,34.7,112.7,276,3539.2,807.8,2439.1,292.3,2012,40080,268288.8,"339,663",22999
ARIZONA,6828065,410.2,4.5,79.1,93.1,267.1,3033.2,555.9,2231.5,245.8,2015,42719,280229.5,"331,442",22653
ARIZONA,7016270,508,5.9,51,106,345,2914.9,536.3,2107,271.6,2017,42030,299405.7,"384,930",22750
ARIZONA,7171646,474.9,5.1,50.7,91,328.1,2676.8,439.7,1970.3,266.9,2018,42005,311705.6,"377,838",22428
ARKANSAS,2403738,197.5672889,4.909020867,8.07076312,25.9179661,158.6695389,642.2080942,124.4728003,497.8495992,17.34798052,2008,NA,105791,"191,799",9678
ARKANSAS,2470159,161.4470971,4.574604307,9.715973749,25.58539754,121.5711215,639.0276901,112.0170807,509.5623399,14.3715445,2009,15208,102528.1,"209,842",9970
ARKANSAS,2786173,174.4328152,5.132488184,10.37265094,20.13514595,138.7925301,494.9800317,78.028177,397.8216715,17.51506457,2016,17537,114541.2,"266,014",36
ARKANSAS,2915918,505.3,4.7,45,81.3,374.3,3558.9,1114.9,2253.8,190.1,2010,16204,105922.5,"191,448",9964
ARKANSAS,2937979,480.9,5.5,41.3,82.6,351.5,3754.1,1173.3,2383,197.8,2011,16108,108295.4,"206,228",9074
ARKANSAS,2949131,469.1,5.9,42.3,78.7,342.3,3660.1,1081.3,2384.7,194.1,2012,14654,108745.2,"246,193",9148
ARKANSAS,2978204,521.3,6.1,108.5,70.4,380,3251.5,760.2,2297.5,193.8,2015,17707,113860.9,"257,346",9352
ARKANSAS,3004279,554.9,8.6,68.3,64.4,413.6,3078.6,727.7,2109.5,241.4,2017,18070,115346.7,"237,629",9531
ARKANSAS,3013825,543.6,7.2,72.9,52.9,410.7,2913,636.8,2040.2,236,2018,17799,117293.8,"248,439",10628
CALIFORNIA,37253956,440.6,4.9,22.4,156,257.4,2635.8,614.3,1612.1,409.4,2010,165062,2058137.9,"816,399",118884
CALIFORNIA,37691912,411.1,4.8,20.3,144,242,2583.8,610.4,1583.8,389.6,2011,149569,2091586,"905,701",116797
CALIFORNIA,38041430,423.1,5,20.6,148.6,248.9,2758.7,646.1,1669.5,443.2,2012,134534,2144497.3,"1,132,603",117268
CALIFORNIA,38332521,402.1,4.6,44.8,139.9,232.3,2658.1,605.4,1621.5,431.2,2013,135981,2220867.6,"1,368,295",117322
CALIFORNIA,39012007,273.8336431,3.683481345,6.562082284,40.66953028,222.9185492,295.688453,104.6036929,140.2645088,47.47512734,2016,130084,2500950.4,"2,377,167",12595
CALIFORNIA,39144818,426.3,4.8,56.7,135,253.8,2618.3,504.3,1677.1,436.8,2015,129593,2428598.4,"1,761,079",118407
CALIFORNIA,39536653,449.3,4.6,37.2,143.2,264.2,2496.7,446.9,1623.9,425.9,2017,131039,2610682.3,"1,570,110",119684
CALIFORNIA,39557045,447.4,4.4,39.2,137.3,266.5,2380.4,416.2,1571.8,392.4,2018,128625,2721651,"1,297,132",120041
COLORADO,4359586,142.3988425,3.55538347,10.39089492,21.24054899,107.2120151,583.8398417,68.65330791,480.229086,29.77346932,2008,NA,267713.2,"285,521",16859
COLORADO,4524405,143.002229,3.668990729,9.305090946,24.04736092,105.9807864,570.815389,61.70977178,477.167716,26.92066692,2009,22795,262379.8,"313,641",17435
COLORADO,5008754,133.5861174,2.99475678,8.265528712,18.78710753,103.5387244,596.5355855,51.33013121,489.0437821,51.60964184,2016,19981,316751.8,"540,514",1538
COLORADO,5029196,320.8,2.4,43.7,62.3,212.4,2684.2,520,1940.5,223.6,2010,22815,264791.1,"300,820",17071
COLORADO,5116796,320.2,2.9,44.5,64.6,208.1,2606.3,503.6,1886.8,215.9,2011,21978,268680.8,"336,296",16700
