"State","Year","Population","Total_crime","Violent_crime","Murder","Forcible_rape","Robbery","Aggravated_assault","Property_crime","Burglary","Larceny_theft","Motor_vehicle_theft","Prison_population","GDP","Gun_number","Police_number"
"ALABAMA",2008,4661900,4535.7,452.8,7.6,34.7,157.6,253,4082.9,1081.3,2713,288.7,NA,185297.9,"299,432",16172
"ALABAMA",2009,4708708,4222.2,449.8,6.9,31.9,132.9,278.1,3772.4,1037.2,2499.9,235.3,31874,178021.4,"317,868",16917
"ALABAMA",2010,4779736,3894.6,377.8,5.7,28.2,99.6,244.2,3516.8,879.4,2415.6,221.8,31764,182262.7,"308,607",16205
"ALABAMA",2012,4822023,3952.1,449.9,7.1,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8,32431,186299,"431,356",12745
"ALABAMA",2015,4858979,3451.3,472.4,7.2,72,94.9,328.3,2978.9,725.6,2040.7,212.7,30810,189339.1,"737,509",13079
"ALABAMA",2016,4863300,3480.1,532.3,8.4,67.9,96.4,388.2,2947.8,700.5,2006.3,241.1,28883,190703,"616,947",13534
"ALABAMA",2017,4874747,3481.5,524.2,8.3,41.6,86.5,387.8,2957.3,645.7,2048.1,263.4,27608,193023.9,"477,345",8065
"ALABAMA",2018,4887871,3336.8,519.6,7.8,40.8,83.4,387.6,2817.2,590.1,1958.9,268.3,26841,198435.9,"474,294",15855
"ALABAMA",2011,4802740,4026.2,420.1,6.3,28.5,102.2,283,3606.1,1064.3,2319.7,222,32270,185054.8,"336,102",16185
"ALABAMA",2013,4833722,3782.1,430.8,7.2,71.8,96.2,285.2,3351.3,877.8,2254.8,218.7,32381,188165.1,"563,880",14173
"ALABAMA",2014,4849377,3605,427.4,5.7,70.9,96.9,283.4,3177.6,819,2149.5,209.1,31771,186849,"621,305",11455
"ALASKA",2008,686293,3584.2,651.9,4.1,64.3,94,489.6,2932.3,472.1,2221.5,238.7,NA,50884,"61,729",1963
"ALASKA",2009,698473,3579,633,3.1,73.3,93.8,462.7,2946,515,2189.2,241.8,5285,55837.6,"60,780",1977
"ALASKA",2010,710231,3491.3,638.8,4.4,75,83.6,475.8,2852.5,437.2,2187.3,228,5391,54151.4,"65,909",1944
"ALASKA",2011,722718,3239.3,606.5,4,58.1,79.7,464.6,2632.8,391,2056,185.8,5412,54645.7,"70,198",1990
"ALASKA",2012,731449,3342.6,603.2,4.1,79.7,86.1,433.2,2739.4,403.3,2128,208.1,5633,57670.1,"85,342",1968
"ALASKA",2018,737438,4185.5,885,6.4,161.6,121.5,595.4,3300.5,539.6,2219,541.9,4380,53092.4,"78,761",1985
"ALASKA",2015,738432,3547.8,730.2,8,210,103.1,497.1,2817.6,475.5,2065.1,277.1,5338,53798.7,"85,621",9
"ALASKA",2017,739795,4371.1,829,8.4,116.7,128.5,575.4,3542.1,563.8,2402.7,575.6,4399,52727.4,"80,839",1933
"ALASKA",2016,741894,4157.2,804.2,7,243.9,114.6,540.6,3353,546.3,2394.7,412.1,4434,52710.7,"87,647",2400
"ALASKA",2013,735132,3525.6,640.4,4.6,213,84.9,425.5,2885.2,396.7,2258,230.6,5081,54750,"93,405",1937
"ALASKA",2014,736732,3395.8,635.8,5.6,180,85.4,440.2,2760,427.6,2096.4,236,5794,53273,"87,623",1938
"ARIZONA",2010,6392017,3942.1,408.1,6.4,33.9,108.5,259.3,3534,794.3,2403.2,336.5,40209,257484.7,"206,050",22130
"ARIZONA",2011,6482505,3960.4,405.9,6.2,34.9,109.9,254.8,3554.5,847.3,2401.3,305.9,40020,263211.1,"251,477",20759
"ARIZONA",2008,6500180,4738,447,6.3,25.7,149.2,265.9,4291,868.9,2849.5,572.6,NA,277477.1,"208,721",22912
"ARIZONA",2012,6553255,3968.1,428.9,5.5,34.7,112.7,276,3539.2,807.8,2439.1,292.3,40080,268288.8,"339,663",22999
"ARIZONA",2009,6595778,3964.8,408.3,5.4,32,122.8,248.1,3556.5,809.8,2352.8,394,40544,255080.7,"215,379",22910
"ARIZONA",2015,6828065,3443.4,410.2,4.5,79.1,93.1,267.1,3033.2,555.9,2231.5,245.8,42719,280229.5,"331,442",22653
"ARIZONA",2016,6931071,3448.5,470.1,5.5,82.9,101.8,315.4,2978.4,544.4,2168.1,265.8,42320,289230.4,"416,279",24264
"ARIZONA",2017,7016270,3422.9,508,5.9,51,106,345,2914.9,536.3,2107,271.6,42030,299405.7,"384,930",22750
"ARIZONA",2018,7171646,3151.7,474.9,5.1,50.7,91,328.1,2676.8,439.7,1970.3,266.9,42005,311705.6,"377,838",22428
"ARIZONA",2014,6731484,3597.4,399.9,4.7,86.8,92.8,252.1,3197.5,647.1,2289.1,261.3,42259,273677.1,"310,672",22817
"ARIZONA",2013,6626624,3815.6,416.5,5.4,81.4,101.1,263.9,3399.1,732.4,2403.5,263.2,41104,270148.9,"363,036",21192
"ARKANSAS",2008,2855390,4338.5,503.4,5.7,48.9,95.8,353.1,3835.1,1180,2427.1,228,NA,105791,"191,799",9678
"ARKANSAS",2009,2889450,4291.4,517.7,6.2,47.3,89.4,374.8,3773.7,1203.1,2359.3,211.2,15208,102528.1,"209,842",9970
"ARKANSAS",2010,2915918,4064.2,505.3,4.7,45,81.3,374.3,3558.9,1114.9,2253.8,190.1,16204,105922.5,"191,448",9964
"ARKANSAS",2011,2937979,4235,480.9,5.5,41.3,82.6,351.5,3754.1,1173.3,2383,197.8,16108,108295.4,"206,228",9074
"ARKANSAS",2012,2949131,4129.2,469.1,5.9,42.3,78.7,342.3,3660.1,1081.3,2384.7,194.1,14654,108745.2,"246,193",9148
"ARKANSAS",2015,2978204,3772.8,521.3,6.1,108.5,70.4,380,3251.5,760.2,2297.5,193.8,17707,113860.9,"257,346",9352
"ARKANSAS",2016,2988248,3819.5,550.9,7.2,123.4,70.9,401,3268.6,795.5,2233.6,239.4,17537,114541.2,"266,014",10224
"ARKANSAS",2017,3004279,3633.5,554.9,8.6,68.3,64.4,413.6,3078.6,727.7,2109.5,241.4,18070,115346.7,"237,629",9531
"ARKANSAS",2018,3013825,3456.6,543.6,7.2,72.9,52.9,410.7,2913,636.8,2040.2,236,17799,117293.8,"248,439",10628
"ARKANSAS",2013,2959373,4062.9,460.3,5.4,81.7,76.3,330.5,3602.6,1030.1,2380.6,191.9,17235,111778.9,"279,736",9250
"ARKANSAS",2014,2966369,3818.1,480.1,5.6,99.2,69.1,346,3338,835.7,2313.5,188.8,17874,112932.1,"234,282",9380
"CALIFORNIA",2008,36756666,3444.1,503.8,5.8,24.2,188.8,285,2940.3,647.1,1769.4,523.8,NA,2111138,"780,398",123506
"CALIFORNIA",2009,36961664,3203.5,472,5.3,23.6,173.4,269.7,2731.5,622.6,1665.1,443.8,171275,2026486.9,"788,164",121879
"CALIFORNIA",2010,37253956,3076.4,440.6,4.9,22.4,156,257.4,2635.8,614.3,1612.1,409.4,165062,2058137.9,"816,399",118884
"CALIFORNIA",2011,37691912,2994.9,411.1,4.8,20.3,144,242,2583.8,610.4,1583.8,389.6,149569,2091586,"905,701",116797
"CALIFORNIA",2012,38041430,3181.8,423.1,5,20.6,148.6,248.9,2758.7,646.1,1669.5,443.2,134534,2144497.3,"1,132,603",117268
"CALIFORNIA",2013,38332521,3060.2,402.1,4.6,44.8,139.9,232.3,2658.1,605.4,1621.5,431.2,135981,2220867.6,"1,368,295",117322
"CALIFORNIA",2015,39144818,3044.6,426.3,4.8,56.7,135,253.8,2618.3,504.3,1677.1,436.8,129593,2428598.4,"1,761,079",118407
"CALIFORNIA",2016,39250017,2998.3,445.3,4.9,60.8,139.6,265.9,2553,479.8,1623,450.3,130084,2500950.4,"2,377,167",104436
"CALIFORNIA",2017,39536653,2946,449.3,4.6,37.2,143.2,264.2,2496.7,446.9,1623.9,425.9,131039,2610682.3,"1,570,110",119684
"CALIFORNIA",2018,39557045,2827.8,447.4,4.4,39.2,137.3,266.5,2380.4,416.2,1571.8,392.4,128625,2721651,"1,297,132",120041
"CALIFORNIA",2014,38802500,2837.2,396.1,4.4,51.3,125.5,236.6,2441.1,522.3,1527.4,391.3,136085,2312540.1,"1,474,616",118491
"COLORADO",2008,4939456,3192.1,343.1,3.2,42.5,68.1,229.3,2849,572,2003.3,273.7,NA,267713.2,"285,521",16859
