State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,Population
ALABAMA  ,Under 18,"12,832",719,"3,773",21,26,351,321,760,"2,844",137,32,"1,957",23,60,3,240,322,190,0,26,987,8,15,93,703,78,"1,539",10,"1,695",0,32,359,291,"3,772,968"
,Total all ages,"212,192","6,541","24,496",315,356,"2,047","3,823","4,110","19,192","1,067",127,"26,590","1,818","8,381",153,"2,295","2,277","1,546",260,582,"16,488",58,"1,055","14,991","6,077","11,087","4,862",300,"81,944",0,32,359,,
ALASKA,Under 18,"3,951",212,"1,288",0,2,44,166,145,"1,055",63,25,368,5,24,8,4,210,33,2,42,265,0,2,89,281,10,52,0,718,0,1,337,32,"666,481"
,Total all ages,"38,294","2,121","4,108",22,54,275,"1,770",457,"3,337",268,46,"4,076",87,275,106,38,879,345,159,166,"1,716",0,320,"5,538","1,692",108,836,3,"15,379",4,1,337,,
ARIZONA,Under 18,"53,826","1,619","11,065",29,28,457,"1,105","1,523","8,769",613,160,"4,853",51,97,26,160,"3,711",538,27,307,"5,413",1,284,561,"5,789",4,"3,388",15,"5,628",0,"5,066","5,223",85,"6,414,715"
,Total all ages,"334,238","9,226","41,904",310,185,"2,044","6,687","5,086","33,963","2,593",262,"25,778","3,207","2,352",322,"1,285","11,680","3,681","1,602","1,773","34,242",7,"3,026","39,746","29,984",12,"18,150","1,535","94,437",0,"5,066","5,223",,
ARKANSAS,Under 18,"13,209",468,"3,796",2,16,96,354,856,"2,843",77,20,"1,380",18,25,7,144,613,162,2,38,948,1,2,147,267,265,"1,064",29,"2,535",3,772,523,201,"2,403,738"
,Total all ages,"138,372","4,749","15,437",118,194,623,"3,814","2,992","11,967",417,61,"9,701",937,"3,351",54,"1,224","1,848","1,330",316,194,"11,513",24,117,"11,707","2,224","10,454","3,664","1,200","56,920",113,772,523,,
CALIFORNIA ,Under 18,"227,754","17,172","47,793",224,235,"6,879","9,834","15,658","27,836","3,477",822,"21,371",293,590,85,"3,089","16,286","8,131",487,"2,184","21,661",33,10,"1,468","5,181","4,245","10,974",383,"44,395",0,"17,697","4,226",637,"36,555,329"
,Total all ages,"1,547,811","125,235","170,546","1,850","2,088","22,391","98,906","56,409","95,447","17,203","1,487","93,284","9,078","10,294","2,159","18,831","33,056","31,800","13,385","14,502","268,763",615,380,"214,828","19,649","121,180","15,362","4,364","358,577",0,"17,697","4,226",,
