X1,X2,State,Area,Var.5,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,Metropolitan Statistical Area,,"3,672,399",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,Metropolitan Statistical Area,Area actually reporting,96.20%,,280,1454,"4,130","10,373","126,932","32,452","86,012","8,468"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,Metropolitan Statistical Area,Estimated total,100.00%,"16,664",283,2560,"4,208","10,666","130,416","33,451","88,269","8,696"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,Cities outside metropolitan areas,,"528,341",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,ALABAMA4,Area actually reporting,94.00%,,33,282,348,"2,022","21,396","5,317","14,897","1,182"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,ALABAMA4,Estimated total,100.00%,"2,840",35,508,367,"2,139","22,487","5,605","15,637","1,245"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,Nonmetropolitan counties,,"632,982",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,ALABAMA4,Area actually reporting,99.20%,,29,236,72,974,"9,020","3,347","5,048",625
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,ALABAMA4,Estimated total,100.00%,"1,322",29,404,73,982,"9,090","3,373","5,087",630
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,State Total,,"4,833,722","20,826",347,3472,"4,648","13,787","161,993","42,429","108,993","10,571"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA4,ALABAMA4,"Rate per 100,000 inhabitants",,430.8,7.2,71.8,96.2,285.2,"3,351.30",877.8,"2,254.80",218.7
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,Metropolitan Statistical Area,,"349,294",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,Metropolitan Statistical Area,Area actually reporting,100.00%,"2,734",15,771,569,"1,696","14,476","1,523","11,912","1,041"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,Cities outside metropolitan areas,,"128,768",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,ALASKA4,Area actually reporting,96.60%,,1,98,33,636,"3,606",407,"2,950",249
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,ALASKA4,Estimated total,100.00%,795,1,172,34,659,"3,733",421,"3,054",258
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,Nonmetropolitan counties,,"257,070",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,ALASKA4,Area actually reporting,100.00%,"1,179",18,623,21,773,"3,001",972,"1,633",396
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,State Total,,"735,132","4,708",34,1566,624,"3,128","21,210","2,916","16,599","1,695"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA4,ALASKA4,"Rate per 100,000 inhabitants",,640.4,4.6,213,84.9,425.5,"2,885.20",396.7,"2,258.00",230.6
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6",Metropolitan Statistical Area,,"6,277,606",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6",Metropolitan Statistical Area,Area actually reporting,99.80%,,315,1843,"6,567","15,516","213,239","44,933","152,271","16,035"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6",Metropolitan Statistical Area,Estimated total,100.00%,"24,832",315,4249,"6,575","15,536","213,617","45,003","152,558","16,056"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6",Cities outside metropolitan areas,,"123,679",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6","ARIZONA5,6",Area actually reporting,88.40%,,36,433,102,"1,406","8,420","2,465","4,901","1,054"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6","ARIZONA5,6",Estimated total,100.00%,"2,378",41,1121,115,"1,591","9,528","2,789","5,546","1,193"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6",Nonmetropolitan counties,,"225,339",,,0,,,,,,
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6","ARIZONA5,6",Area actually reporting,100.00%,389,1,23,12,363,"2,098",741,"1,168",189
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6",State Total,,"6,626,624","27,599",357,5393,"6,702","17,490","225,243","48,533","159,272","17,438"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home","ARIZONA5,6","ARIZONA5,6","Rate per 100,000 inhabitants",,416.5,5.4,81.4,101.1,263.9,"3,399.10",732.4,"2,403.50",263.2
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARKANSAS4,Metropolitan Statistical Area,,"1,803,197",,,0,,,,,,
