State,Area,Var.5,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft
ALABAMA,Metropolitan Statistical Area,,"3,732,789",,,,,,,,,
ALABAMA,Metropolitan Statistical Area,Area actually reporting,99.00%,"20,396",337,"1,535","3,706","14,818","114,790","24,598","79,734","10,458"
ALABAMA,Metropolitan Statistical Area,Estimated total,100.00%,"20,585",340,"1,548","3,738","14,959","116,031","24,809","80,666","10,556"
ALABAMA,Cities outside metropolitan areas,,"518,602",,,,,,,,,
ALABAMA,ALABAMA,Area actually reporting,94.30%,"3,526",38,264,366,"2,858","19,732","3,964","14,367","1,401"
ALABAMA,ALABAMA,Estimated total,100.00%,"3,715",40,277,385,"3,013","20,642","4,169","15,000","1,473"
ALABAMA,Nonmetropolitan counties,,"623,356",,,,,,,,,
ALABAMA,ALABAMA,Area actually reporting,92.90%,"1,162",22,189,87,864,"6,954","2,321","3,879",754
ALABAMA,ALABAMA,Estimated total,100.00%,"1,251",24,203,94,930,"7,487","2,499","4,176",812
ALABAMA,State Total,,"4,874,747","25,551",404,"2,028","4,217","18,902","144,160","31,477","99,842","12,841"
ALABAMA,ALABAMA,"Rate per 100,000 inhabitants",,524.2,8.3,41.6,86.5,387.8,"2,957.30",645.7,"2,048.10",263.4
ALASKA,Metropolitan Statistical Area,,"348,650",,,,,,,,,
ALASKA,Metropolitan Statistical Area,Area actually reporting,100.00%,"3,859",38,418,830,"2,573","18,698","2,453","12,750","3,495"
ALASKA,Cities outside metropolitan areas,,"127,272",,,,,,,,,
ALASKA,ALASKA,Area actually reporting,97.20%,"1,035",6,212,81,736,"4,079",635,"3,170",274
ALASKA,ALASKA,Estimated total,100.00%,"1,064",6,218,83,757,"4,197",653,"3,262",282
ALASKA,Nonmetropolitan counties,,"263,873",,,,,,,,,
ALASKA,ALASKA,Area actually reporting,100.00%,"1,210",18,227,38,927,"3,309","1,065","1,763",481
ALASKA,State Total,,"739,795","6,133",62,863,951,"4,257","26,204","4,171","17,775","4,258"
ALASKA,ALASKA,"Rate per 100,000 inhabitants",,829,8.4,116.7,128.5,575.4,"3,542.10",563.8,"2,402.70",575.6
ARIZONA,Metropolitan Statistical Area,,"6,665,732",,,,,,,,,
ARIZONA,Metropolitan Statistical Area,Area actually reporting,99.60%,"30,336",376,"3,300","7,300","19,360","194,978","35,203","141,758","18,017"
ARIZONA,Metropolitan Statistical Area,Estimated total,100.00%,"30,412",376,"3,310","7,316","19,410","195,650","35,305","142,278","18,067"
ARIZONA,Cities outside metropolitan areas,,"125,031",,,,,,,,,
ARIZONA,ARIZONA,Area actually reporting,96.90%,"4,644",34,253,89,"4,268","6,746","1,590","4,420",736
ARIZONA,ARIZONA,Estimated total,100.00%,"4,790",35,261,92,"4,402","6,958","1,640","4,559",759
ARIZONA,Nonmetropolitan counties,,"225,507",,,,,,,,,
ARIZONA,ARIZONA,Area actually reporting,100.00%,442,5,10,32,395,"1,907",682,993,232
ARIZONA,State Total,,"7,016,270","35,644",416,"3,581","7,440","24,207","204,515","37,627","147,830","19,058"
ARIZONA,ARIZONA,"Rate per 100,000 inhabitants",,508,5.9,51,106,345,"2,914.90",536.3,"2,107.00",271.6
ARKANSAS,Metropolitan Statistical Area,,"1,870,966",,,,,,,,,
ARKANSAS,Metropolitan Statistical Area,Area actually reporting,99.30%,"11,887",171,"1,250","1,614","8,852","64,624","14,487","44,777","5,360"
ARKANSAS,Metropolitan Statistical Area,Estimated total,100.00%,"11,939",171,"1,258","1,617","8,893","64,898","14,566","44,946","5,386"
ARKANSAS,Cities outside metropolitan areas,,"515,402",,,,,,,,,
ARKANSAS,ARKANSAS,Area actually reporting,90.40%,"2,565",46,396,252,"1,871","16,666","4,271","11,542",853
ARKANSAS,ARKANSAS,Estimated total,100.00%,"2,846",51,446,279,"2,070","18,442","4,726","12,772",944
ARKANSAS,Nonmetropolitan counties,,"617,911",,,,,,,,,
ARKANSAS,ARKANSAS,Area actually reporting,93.50%,"1,756",34,320,36,"1,366","8,551","2,402","5,286",863
ARKANSAS,ARKANSAS,Estimated total,100.00%,"1,886",36,349,39,"1,462","9,149","2,570","5,656",923
ARKANSAS,State Total,,"3,004,279","16,671",258,"2,053","1,935","12,425","92,489","21,862","63,374","7,253"
ARKANSAS,ARKANSAS,"Rate per 100,000 inhabitants",,554.9,8.6,68.3,64.4,413.6,"3,078.60",727.7,"2,109.50",241.4
CALIFORNIA,Metropolitan Statistical Area,,"38,706,996",,,,,,,,,
CALIFORNIA,Metropolitan Statistical Area,Area actually reporting,99.90%,"173,634","1,778","14,252","56,127","101,477","968,957","171,705","631,712","165,540"
CALIFORNIA,Metropolitan Statistical Area,Estimated total,100.00%,"173,659","1,778","14,254","56,135","101,492","969,133","171,737","631,828","165,568"
CALIFORNIA,Cities outside metropolitan areas,,"263,117",,,,,,,,,
CALIFORNIA,CALIFORNIA,Area actually reporting,100.00%,"1,641",13,182,296,"1,150","9,240","1,950","6,070","1,220"
CALIFORNIA,Nonmetropolitan counties,,"566,540",,,,,,,,,
CALIFORNIA,CALIFORNIA,Area actually reporting,100.00%,"2,327",39,285,191,"1,812","8,741","3,003","4,135","1,603"
CALIFORNIA,State Total,,"39,536,653","177,627","1,830","14,721","56,622","104,454","987,114","176,690","642,033","168,391"
CALIFORNIA,CALIFORNIA,"Rate per 100,000 inhabitants",,449.3,4.6,37.2,143.2,264.2,"2,496.70",446.9,"1,623.90",425.9
COLORADO,Metropolitan Statistical Area,,"4,904,129",,,,,,,,,
COLORADO,Metropolitan Statistical Area,Area actually reporting,99.90%,"19,312",209,"3,531","3,742","11,830","137,837","20,399","96,472","20,966"
COLORADO,Metropolitan Statistical Area,Estimated total,100.00%,"19,326",209,"3,533","3,743","11,841","138,023","20,421","96,613","20,989"
COLORADO,Cities outside metropolitan areas,,"339,363",,,,,,,,,
COLORADO,COLORADO,Area actually reporting,96.60%,801,5,202,77,517,"9,686","1,394","7,772",520
COLORADO,COLORADO,Estimated total,100.00%,829,5,209,80,535,"10,024","1,443","8,043",538
COLORADO,Nonmetropolitan counties,,"363,662",,,,,,,,,
COLORADO,COLORADO,Area actually reporting,96.20%,465,7,112,14,332,"3,305",913,"2,071",321
COLORADO,COLORADO,Estimated total,100.00%,483,7,116,15,345,"3,436",949,"2,153",334
COLORADO,State Total,,"5,607,154","20,638",221,"3,858","3,838","12,721","151,483","22,813","106,809","21,861"
COLORADO,COLORADO,"Rate per 100,000 inhabitants",,368.1,3.9,68.8,68.4,226.9,"2,701.60",406.9,"1,904.90",389.9
CONNECTICUT,Metropolitan Statistical Area,,"2,967,056",,,,,,,,,
CONNECTICUT,Metropolitan Statistical Area,Area actually reporting,100.00%,"7,739",95,732,"2,745","4,167","59,420","8,014","44,567","6,839"
CONNECTICUT,Cities outside metropolitan areas,,"112,933",,,,,,,,,
CONNECTICUT,CONNECTICUT,Area actually reporting,100.00%,125,1,24,22,78,"1,532",206,"1,215",111
CONNECTICUT,Nonmetropolitan counties,,"508,195",,,,,,,,,
CONNECTICUT,CONNECTICUT,Area actually reporting,100.00%,316,6,81,46,183,"2,557",670,"1,528",359
CONNECTICUT,State Total,,"3,588,184","8,180",102,837,"2,813","4,428","63,509","8,890","47,310","7,309"
CONNECTICUT,CONNECTICUT,"Rate per 100,000 inhabitants",,228,2.8,23.3,78.4,123.4,"1,769.90",247.8,"1,318.50",203.7
DELAWARE,Metropolitan Statistical Area,,"961,939",,,,,,,,,
DELAWARE,Metropolitan Statistical Area,Area actually reporting,100.00%,"4,361",54,334,"1,082","2,891","23,476","3,970","18,137","1,369"
DELAWARE,Cities outside metropolitan areas,,None,,,,,,,,,
DELAWARE,Nonmetropolitan counties,,None,,,,,,,,,
DELAWARE,DELAWARE,Area actually reporting,100.00%,0,0,0,0,0,1,0,1,0
DELAWARE,State Total,,"961,939","4,361",54,334,"1,082","2,891","23,477","3,970","18,138","1,369"
DELAWARE,DELAWARE,"Rate per 100,000 inhabitants",,453.4,5.6,34.7,112.5,300.5,"2,440.60",412.7,"1,885.60",142.3
