State,State/Tribal/Other Agency,Unit/Office,"Total law
enforcement
employees","Total
officers","Total
civilians"
ALABAMA,Alabama Department of Mental Health,,3,2,1
ALABAMA,Poarch Creek Tribal,,54,46,8
ALABAMA,Mobile Regional Airport,,24,16,8
ALASKA,State Troopers,,609,368,241
ALASKA,Fairbanks International Airport,,33,25,8
,Ted Stevens Anchorage International Airport,,67,54,13
ARIZONA,Arizona Department of Public Safety,,"2,065","1,159",906
ARIZONA,Colorado River Agency,,2,2,0
,Colorado River Tribal,,45,19,26
,Fort Apache Agency,,6,5,1
,Gila River Indian Community,,166,127,39
,Hopi Tribal,,43,15,28
,Pascua Yaqui Tribal,,81,27,54
,Salt River Tribal,,132,107,25
,Tohono O'odham Nation,,167,87,80
,Tonto Apache Tribal,,9,8,1
,Truxton Canon Agency,,9,4,5
ARIZONA,Tucson Airport Authority,,41,21,20
ARKANSAS,Camp Robinson,,13,7,6
,State Capitol Police,,23,21,2
CALIFORNIA,Atascadero State Hospital,,134,125,9
,California State Fair,,5,4,1
,Coalinga State Hospital,,231,214,17
,Department of Parks and Recreation,Capital,537,503,34
,Fairview Developmental Center,,15,13,2
,Highway Patrol,Sacramento County,"10,591","7,197","3,394"
,Napa State Hospital,,125,117,8
,Patton State Hospital,,85,68,17
,Porterville Developmental Center,,50,45,5
,Sonoma Developmental Center,,14,5,9
CALIFORNIA,Hoopa Valley Tribal,,13,6,7
,Sycuan Tribal,,19,10,9
,Yurok Tribal,,12,9,3
CALIFORNIA,East Bay Regional Parks,Alameda County,87,62,25
,Fontana Unified School District,,63,15,48
,Monterey Peninsula Airport,,5,5,0
,Port of San Diego Harbor,,168,130,38
,San Bernardino Unified School District,,75,24,51
,San Francisco Bay Area Rapid Transit,Contra Costa County,277,189,88
,Shasta County Marshal,,22,19,3
,Stockton Unified School District,,41,33,8
,Twin Rivers Unified School District,,26,22,4
COLORADO,Colorado Bureau of Investigation,,247,40,207
,Colorado Mental Health Institute,,103,19,84
,Colorado State Patrol,,"1,128",742,386
COLORADO,Southern Ute Tribal,,38,18,20
,Ute Mountain Tribal,,19,11,8
COLORADO,All Crimes Enforcement Team,,3,3,0
CONNECTICUT,Connecticut State Police,,"1,298","1,060",238
,Department of Motor Vehicles,,61,50,11
,State Capitol Police,,43,32,11
CONNECTICUT,Mashantucket Pequot Tribal,,35,25,10
,Mohegan Tribal,,29,28,1
CONNECTICUT,Metropolitan Transportation Authority,,35,34,1
DELAWARE,Alcohol and Tobacco Enforcement,,19,17,2
,Animal Welfare,New Castle County,18,14,4
,Attorney General:,Kent County,72,7,65
,,New Castle County,306,27,279
,,Sussex County,52,1,51
,Environmental Control,,10,9,1
,Fish and Wildlife,,32,26,6
,Park Rangers,,20,20,0
,River and Bay Authority,,62,51,11
,State Capitol Police,,88,64,24
,State Fire Marshal,,47,17,30
,State Police: ,Kent County,445,271,174
,,New Castle County,302,265,37
,,Sussex County,219,188,31
DELAWARE,Amtrak Police,,18,18,0
,Drug Enforcement Administration,Wilmington Resident Office,33,24,9
,Wilmington Fire Department,,12,12,0
DISTRICT OF COLUMBIA,Metro Transit Police,,500,421,79
FLORIDA,Capitol Police,,82,64,18
,Department of Law Enforcement,"Leon County, Tallahassee","1,681",382,"1,299"
,Division of Alcoholic Beverages and Tobacco,Leon County,177,101,76
,Florida Game Commission,Leon County,996,806,190
FLORIDA,Miccosukee Tribal,,59,42,17
,Seminole Tribal,,205,127,78
FLORIDA,Duval County Schools,,70,70,0
,Florida School for the Deaf and Blind,,17,9,8
,Fort Lauderdale Airport,,110,88,22
,Jacksonville Aviation Authority,,50,36,14
,Lee County Port Authority,,64,41,23
,Melbourne International Airport,,13,12,1
,Miami-Dade County Public Schools,,222,181,41
,Northwest Florida Beaches International Airport,,21,15,6
,Palm Beach County School District,,170,153,17
,Sarasota-Manatee Airport Authority,,11,11,0
,Tampa International Airport,,155,60,95
,Volusia County Beach Management,,55,49,6
GEORGIA,Georgia Department of Transportation,Office of Investigations,3,3,0
,Georgia Forestry Commission,,6,6,0
,Georgia Public Safety Training Center,,150,41,109
,Georgia World Congress,,70,22,48
,Ports Authority,Savannah,120,86,34
GEORGIA,Atlanta Public Schools,,72,63,9
,Augusta Board of Education,,44,41,3
,Bibb County Board of Education,,27,21,6
,Chatham County Board of Education,,59,48,11
,Cherokee County Marshal,,18,11,7
,Cobb County Board of Education,,66,64,2
,Decatur County Schools,,5,5,0
,Fayette County Marshal,,4,4,0
,Forsyth County Fire Investigation Unit,,4,4,0
,Fulton County School System,,74,68,6
,Glynn County School System,,23,23,0
,Gwinnett County Public Schools,,84,74,10
,Hall County Marshal,,15,11,4
,Hartsfield-Jackson Atlanta International Airport,,193,161,32
,Metropolitan Atlanta Rapid Transit Authority,,390,330,60
,Richmond County Marshal,,59,49,10
,Stone Mountain Park,,23,20,3
,Washington County Board of Education,,7,7,0
IDAHO,Idaho State Police,,493,269,224
IDAHO,Coeur d'Alene Tribal,,15,14,1
,Fort Hall Tribal,,34,20,14
,Kootenai Tribal,,2,2,0
ILLINOIS,Illinois State Police,,"2,698","1,674","1,024"
,Secretary of State Police,,219,117,102
ILLINOIS,Alton & Southern Railway,,7,7,0
,Capitol Airport Authority,,6,6,0
,Kane County Forest Preserve,,6,6,0
,McHenry County Conservation District,,13,12,1
,Springfield Park District,,4,4,0
,Terminal Railroad Association,,6,6,0
INDIANA,Indiana State Police,,"1,766","1,291",475
INDIANA,Northern Indiana Commuter Transportation District,,9,8,1
IOWA,Iowa Highway Patrol,,845,555,290
KANSAS,Kansas Alcoholic Beverage Control,,46,18,28
,Kansas Bureau of Investigation,,262,75,187
,Kansas Department of Wildlife and Parks,,167,165,2
,Kansas Highway Patrol,,772,481,291
,Kansas Racing Commission ,Security Division,61,41,20
,Securities Office,Investigation Section,3,3,0
,State Fire Marshal,,13,12,1
KANSAS,Iowa Tribal,,7,7,0
,Kickapoo Tribal,,6,6,0
,Potawatomi Tribal,,19,11,8
,Sac and Fox Tribal,,4,3,1
KANSAS,Blue Valley School District,,6,5,1
