Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",State,Total law enforcement employees,Male,Female,Totalcivilians,Totalcivilians,Male,Female
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,"16,205","10,134",796,"2,016","3,259",346,"4,637,287"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,"1,944","1,116",103,256,469,40,"709,604"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,"22,130","11,261","1,345","4,336","5,188",106,"6,304,972"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARKANSAS,"9,964","5,671",504,"1,471","2,318",280,"2,913,580"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",CALIFORNIA,"118,884","68,635","10,361","14,336","25,552",460,"32,115,492"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",COLORADO,"17,071","10,074","1,462","1,892","3,643",234,"5,026,084"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",CONNECTICUT,"10,476","7,812",807,788,"1,069",103,"3,574,097"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",DELAWARE,"3,170","2,006",317,311,536,54,"897,563"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",DISTRICT OF COLUMBIA,"4,477","3,046",899,210,322,1,"601,723"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",FLORIDA,"72,390","37,849","6,389","10,229","17,923",361,"17,887,439"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",GEORGIA,"32,780","20,552","4,029","2,668","5,531",426,"8,639,939"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",HAWAII,"3,725","2,654",293,235,543,4,"1,360,301"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",IDAHO,"4,341","2,603",190,314,"1,234",110,"1,565,006"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ILLINOIS,"49,849","29,991","5,452","6,968","7,438",778,"12,749,781"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",INDIANA,"15,577","9,808",761,"2,315","2,693",237,"5,852,251"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",IOWA,"8,085","4,875",428,"1,079","1,703",238,"3,038,644"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",KANSAS,"10,565","6,388",609,"1,390","2,178",337,"2,600,455"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",KENTUCKY,"10,104","7,526",525,773,"1,280",344,"4,098,561"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",LOUISIANA,"18,493","11,270","2,554","1,712","2,957",147,"3,407,020"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MAINE,"2,839","2,109",141,242,347,134,"1,327,392"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MARYLAND,"20,467","13,410","2,085","1,891","3,081",132,"5,593,253"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MASSACHUSETTS,"19,574","14,786","1,366","1,356","2,066",347,"6,493,971"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MICHIGAN,"24,426","15,772","2,457","2,737","3,460",629,"9,709,589"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MINNESOTA,"13,509","7,761","1,064","1,936","2,748",322,"5,220,467"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MISSISSIPPI,"10,325","5,636",518,"1,715","2,456",190,"2,795,693"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MISSOURI,"20,375","13,156","1,444","2,185","3,590",564,"5,882,476"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MONTANA,"2,941","1,754",105,477,605,115,"988,583"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEBRASKA,"4,835","3,134",393,346,962,158,"1,778,848"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEVADA,"9,873","5,301",580,"1,430","2,562",44,"2,700,551"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEW HAMPSHIRE,"3,441","2,401",205,255,580,153,"1,192,506"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEW JERSEY,"39,996","28,461","2,604","3,297","5,634",545,"8,491,420"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEW MEXICO,"6,030","3,957",436,549,"1,088",109,"2,008,152"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NEW YORK,"83,394","53,432","8,481","7,664","13,817",466,"19,194,379"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NORTH CAROLINA,"32,755","20,401","2,519","4,426","5,409",510,"9,530,637"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",NORTH DAKOTA,"1,840","1,205",134,193,308,107,"668,266"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",OHIO,"27,987","17,782","1,901","3,465","4,839",607,"9,362,390"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",OKLAHOMA,"11,667","7,073",569,"1,692","2,333",330,"3,749,477"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",OREGON,"10,195","5,524",606,"1,746","2,319",209,"3,794,249"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",PENNSYLVANIA,"29,488","22,509","2,646","1,536","2,797",987,"9,609,935"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",RHODE ISLAND,"3,164","2,356",182,286,340,48,"1,052,567"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",SOUTH CAROLINA,"14,030","9,134","1,220","1,349","2,327",274,"4,220,787"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",SOUTH DAKOTA,"2,411","1,413",98,384,516,142,"812,168"
