Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",State,Total lawenforcementemployees,Male,Female,Totalcivilians,Totalcivilians,Male,Female
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALABAMA,"12,745","7,951",682,"1,574","2,538",279,"3,793,835"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ALASKA,"1,968","1,177",106,237,448,37,"729,244"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARIZONA,"22,999","11,625","1,389","4,556","5,429",124,"6,553,255"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ARKANSAS,"9,148","5,332",504,"1,309","2,003",279,"2,948,787"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",CALIFORNIA,"117,268","66,892","10,181","14,694","25,501",462,"32,610,316"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",COLORADO,"17,270","10,125","1,441","1,944","3,760",238,"5,174,997"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",CONNECTICUT,"10,271","7,667",807,745,"1,052",104,"3,590,347"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",DELAWARE,"3,151","1,987",315,315,534,55,"916,825"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",DISTRICT OF COLUMBIA,"4,976","3,355",960,282,379,2,"632,323"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",FLORIDA,"65,683","34,959","5,960","9,261","15,503",333,"16,672,179"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",GEORGIA,"34,769","21,837","4,230","2,775","5,927",493,"9,416,852"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",HAWAII,"3,720","2,657",285,238,540,4,"1,392,313"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",IDAHO,"4,265","2,579",158,316,"1,212",106,"1,573,210"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",ILLINOIS,"45,505","26,945","4,948","7,007","6,605",581,"11,569,093"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",INDIANA,"12,032","8,133",670,"1,405","1,824",161,"4,502,197"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",IOWA,"7,375","4,353",342,"1,086","1,594",229,"2,731,249"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",KANSAS,"9,675","5,869",586,"1,261","1,959",313,"2,404,632"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",KENTUCKY,"9,728","7,111",512,819,"1,286",336,"4,059,632"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",LOUISIANA,"19,364","12,197","2,881","1,144","3,142",159,"3,792,686"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MAINE,"2,826","2,108",147,219,352,136,"1,328,674"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MARYLAND,"17,956","12,080","1,937","1,389","2,550",128,"5,711,397"
Criminal Justice Information Services Division,"Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home",MASSACHUSETTS,"19,282","14,721","1,325","1,311","1,925",329,"6,450,418"
