Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p11t02.csv,,,,,,,,,,,,,
"Table 2. Lowest to highest change in prison populations, by jurisdiction of state or federal correctional authorities, December 31, 2009, 2010, and 2011",,,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Table 2.  prison populations by jurisdiction of state or federal correctional authorities,,,,,,,,,,,,,
,,Population counts,,,,,,,,,,,
Jurisdiction,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,2020
,U.S. total,"1,615,487","1,613,803","1,598,780",1570397,1574741,1562319,1526792,1508129,1489363,1465158,,1273605
Alabama,,"31,874","31,764","32,270","32,431","32,381","31,771","30,810","28,883","27,608","26,841",,23724
Alaska/b,,"5,285","5,391","5,412","5,633","5,081","5,794","5,338","4,434","4,399","4,380",,1905
Arizonac,,"40,544","40,209","40,020","40,080","41,104","42,259","42,719","42,320","42,030","42,005",,40263
Arkansas,,"15,208","16,204","16,108","14,654","17,235","17,874","17,707","17,537","18,070","17,799",,18028
California,,"171,275","165,062","149,569","134,534","135,981","136,085","129,593","130,084","131,039","128,625",,129920
Colorado,,"22,795","22,815","21,978","20,462","20,371","20,646","20,168","19,981","19,946","20,372",,19824
Connecticut/b,,"19,716","19,321","18,324","17,530","17,563","16,636","15,816","14,957","14,040","13,681",,9626
"Delaware/b,c",,"6,775","6,615","6,739","6,914","7,004","6,955","6,654","6,585","6,443","6,067",,4066
Florida,,"103,915","104,306","103,055","101,930","103,028","102,870","101,424","99,974","98,504","97,538",,98504
Georgia,,"56,986","56,432","55,944","55,457","54,004","52,949","52,193","53,627","53,667","53,647",,53094
"Hawaiib,d",,"5,891","5,912","6,037","5,831","5,632","5,866","5,879","5,602","5,630","5,375",,3425
Idaho,,"7,400","7,431","7,739","7,985","7,549","8,117","8,052","8,252","8,579","8,664",,7752
Illinois,,"45,161","48,418","48,427","49,348","48,653","48,278","46,240","43,657","41,471","39,965",,41427
Indiana,,"28,808","28,028","28,906","28,831","29,913","29,271","27,355","25,546","26,024","26,877",,26001
Iowa,,"8,813","9,455","9,116","8,733","8,697","8,838","8,849","9,031","9,024","9,419",,8999
Kansas,,"8,641","9,051","9,327","9,682","9,763","9,877","9,857","9,920","9,971","10,218",,9687
Kentucky,,"21,638","20,544","21,545","22,110","21,030","21,657","21,701","23,022","23,543","23,431",,23539
Louisiana,,"39,780","39,445","39,710","40,172","39,299","38,030","36,377","35,682","33,739","32,397",,33706
Maine,,"2,206","2,154","2,145","2,108","2,173","2,242","2,279","2,404","2,404","2,425",,1795
Maryland,,"22,255","22,645","22,558","21,522","21,335","21,011","20,764","19,994","19,367","18,856",,19232
Massachusetts,,"11,316","11,313","11,623","11,308","10,950","10,713","9,922","9,403","9,133","8,692",,8286
